"absweek","week","tot_cases","tot_mort","lethality","tot_attack","cases_1","attack_1","cases_2","attack_2","cases_3","attack_3","cum_cases"
1,45,11,0,0,0.001429585,11,0.003164857,0,0,0,0,11
2,46,12,1,8.333333333,0.001559547,11,0.003164857,1,0.000325975,0,0,23
3,47,15,0,0,0.001949434,14,0.004028,1,0.000325975,0,0,38
4,48,14,1,7.142857143,0.001819472,13,0.003740286,1,0.000325975,0,0,52
5,49,0,0,0,0.003898869,30,0.008631429,0,0,0,0,82
6,50,41,1,2.43902439,0.005328454,34,0.009782287,7,0.002281825,0,0,123
7,51,31,0,0,0.004028831,29,0.008343715,1,0.000325975,1,0.000868697,154
8,52,59,0,0,0.007667775,55,0.015824287,3,0.000977925,1,0.000868697,213
9,1,63,1,1.587301587,0.008187624,57,0.016399716,6,0.00195585,0,0,276
10,2,73,0,0,0.009487247,59,0.016975144,14,0.00456365,0,0,349
11,3,85,0,0,0.011046794,65,0.01870143,19,0.006193525,1,0.000868697,434
12,4,129,1,0.775193798,0.016765135,107,0.030785431,19,0.006193525,3,0.00260609,563
13,5,113,3,2.654867257,0.014685738,72,0.02071543,41,0.013364975,0,0,676
14,6,188,4,2.127659574,0.02443291,101,0.029059145,84,0.027381899,3,0.00260609,864
15,7,471,2,0.42462845,0.061212236,350,0.100700009,114,0.037161149,7,0.006080876,1335
16,8,490,5,1.020408163,0.06368152,301,0.086602008,176,0.057371598,13,0.011293055,1825
17,9,764,7,0.916230366,0.099291186,460,0.132348583,286,0.093228847,18,0.015636537,2589
18,10,590,15,2.542372881,0.076677748,326,0.093794865,233,0.075952173,31,0.026929592,3179
19,11,1103,12,1.087941976,0.1433484,576,0.165723443,484,0.157771896,43,0.03735395,4282
20,12,893,22,2.463605823,0.11605632,465,0.133787155,390,0.127130247,38,0.033010468,5175
21,13,939,25,2.662406816,0.122034586,472,0.135801155,412,0.134301696,55,0.047778309,6114
22,14,829,15,1.809408926,0.107738734,370,0.106454295,398,0.129738046,61,0.052990488,6943
23,15,971,21,2.162718847,0.126193379,448,0.128896011,444,0.144732896,79,0.068627025,7914
24,16,798,12,1.503759398,0.103709903,455,0.130910012,258,0.084101548,85,0.073839204,8712
25,17,1015,30,2.955665025,0.131911719,507,0.145871156,398,0.129738046,110,0.095556617,9727
26,18,525,6,1.142857143,0.0682302,238,0.068476006,238,0.077582048,49,0.04256613,10252
27,19,265,7,2.641509434,0.034440006,134,0.038553718,114,0.037161149,17,0.014767841,10517
28,20,192,5,2.604166667,0.024952759,77,0.022154002,99,0.032271524,16,0.013899144,10709
29,21,107,2,1.869158879,0.013905964,56,0.016112001,42,0.01369095,9,0.007818269,10816
30,22,63,1,1.587301587,0.008187624,27,0.007768286,29,0.009453275,7,0.006080876,10879
31,23,1,0,0,0.000129962,0,0,1,0.000325975,0,0,10880
